704 Rusko - Rusko			2988	3066	6054
707 Rääkkylä - Rääkkylä			1273	1161	2434
729 Saarijärvi - Saarijärvi			5020	5043	10063
732 Salla - Salla			2014	1757	3771
734 Salo - Salo			26681	27553	54234
736 Saltvik - Saltvik			919	900	1819
790 Sastamala - Sastamala			12557	12807	25364
738 Sauvo - Sagu			1507	1491	2998
739 Savitaipale - Savitaipale			1824	1835	3659
740 Savonlinna - Nyslott			17454	18473	35927
742 Savukoski - Savukoski			599	502	1101
743 Seinäjoki - Seinäjoki			29655	31312	60967
746 Sievi - Sievi			2652	2508	5160
747 Siikainen - Siikainen			838	746	1584
748 Siikajoki - Siikajoki			2882	2642	5524
791 Siikalatva - Siikalatva			3076	2742	5818
749 Siilinjärvi - Siilinjärvi			10831	10834	21665
751 Simo - Simo			1686	1604	3290
753 Sipoo - Sibbo			9536	9552	19088
755 Siuntio - Sjundeå			3146	3055	6201
758 Sodankylä - Sodankylä			4606	4220	8826
759 Soini - Soini			1147	1122	2269
761 Somero - Somero			4566	4603	9169
762 Sonkajärvi - Sonkajärvi			2268	2067	4335
765 Sotkamo - Sotkamo			5243	5330	10573
766 Sottunga - Sottunga			53	48	101
768 Sulkava - Sulkava			1396	1397	2793
771 Sund - Sund			523	512	1035
777 Suomussalmi - Suomussalmi			4328	4137	8465
778 Suonenjoki - Suonenjoki			3699	3711	7410
781 Sysmä - Sysmä			2012	2090	4102
783 Säkylä - Säkylä			2233	2308	4541
831 Taipalsaari - Taipalsaari			2440	2346	4786
832 Taivalkoski - Taivalkoski			2256	1975	4231
833 Taivassalo - Tövsala			835	811	1646
834 Tammela - Tammela			3205	3182	6387
837 Tampere - Tammerfors			108060	115140	223200
844 Tervo - Tervo			843	780	1623
845 Tervola - Tervola			1699	1540	3239
846 Teuva - Östermark			2798	2740	5538
848 Tohmajärvi - Tohmajärvi			2472	2318	4790
849 Toholampi - Toholampi			1682	1669	3351
850 Toivakka - Toivakka			1270	1195	2465
851 Tornio - Torneå			11192	11118	22310
853 Turku - Åbo			87503	96651	184154
857 Tuusniemi - Tuusniemi			1390	1350	2740
858 Tuusula - Tusby			19019	19198	38217
859 Tyrnävä - Tyrnävä			3434	3300	6734
886 Ulvila - Ulvsby			6641	6698	13339
887 Urjala - Urjala			2473	2506	4979
889 Utajärvi - Utajärvi			1526	1373	2899
890 Utsjoki - Utsjoki			685	573	1258
892 Uurainen - Uurainen			1872	1751	3623
893 Uusikaarlepyy - Nykarleby			3853	3660	7513
895 Uusikaupunki - Nystad			7821	7778	15599
785 Vaala - Vaala			1630	1501	3131
905 Vaasa - Vasa			33410	33608	67018
908 Valkeakoski - Valkeakoski			10429	10751	21180
911 Valtimo - Valtimo			1210	1162	2372
092 Vantaa - Vanda			103917	107133	211050
915 Varkaus - Varkaus			10808	11010	21818
918 Vehmaa - Vehmaa			1162	1182	2344
921 Vesanto - Vesanto			1126	1110	2236
922 Vesilahti - Vesilahti			2305	2191	4496
924 Veteli - Vetil			1711	1629	3340
925 Vieremä - Vieremä			1950	1872	3822
927 Vihti - Vichtis			14435	14579	29014
931 Viitasaari - Viitasaari			3360	3404	6764
934 Vimpeli - Vimpeli			1573	1527	3100
935 Virolahti - Virolahti			1727	1667	3394
936 Virrat - Virdois			3557	3596	7153
941 Vårdö - Vårdö			224	215	439
946 Vöyri - Vörå			3434	3281	6715
976 Ylitornio - Övertorneå			2176	2166	4342
977 Ylivieska - Ylivieska			7511	7471	14982
980 Ylöjärvi - Ylöjärvi			16193	16123	32316
981 Ypäjä - Ypäjä			1234	1235	2469
989 Ähtäri - Etseri			3103	3073	6176
992 Äänekoski - Äänekoski			9997	9916	19913
