ajoneuvoluokka,ensirekisterointipvm,ajoneuvoryhma,ajoneuvonkaytto,variantti,versio,kayttoonottopvm,vari,ovienLukumaara,korityyppi,ohjaamotyyppi,istumapaikkojenLkm,omamassa,teknSuurSallKokmassa,tieliikSuurSallKokmassa,ajonKokPituus,ajonLeveys,ajonKorkeus,kayttovoima,iskutilavuus,suurinNettoteho,sylintereidenLkm,ahdin,sahkohybridi,merkkiSelvakielinen,mallimerkinta,vaihteisto,vaihteidenLkm,kaupallinenNimi,voimanvalJaTehostamistapa,tyyppihyvaksyntanro,yksittaisKayttovoima,kunta,Co2,matkamittarilukema,alue,valmistenumero2,jarnro
M1,1998-09-22,,01,,5202182112,19980922,6,,AA,,5,1699,2205,2205,4800,1810,,02,2490,110,6,true,,Audi,4D SEDAN A6 QUATTRO 2.5TDI-4B-4X4/276,,,A6,05,,02,241,,569449,944,WAUZZZ4BZW,246
M1,1999-03-31,,01,ED11,2A18AL10FDH5,19990331,5,,AC,,5,1210,1710,1710,4290,1710,1510,01,1590,74,4,,,Opel,5D ASTRA CARAVAN 1.6-TGF35/261,,,ASTRA-G-CARAVAN,05,e1*97/27*0087*02,01,182,,291427,421,W0L0TGF35X,247
L3,2004-05-19,108,01,B,,20040519,0,,,4,2,148,328,328,2010,800,,01,124,9.2,1,,,Chunlan,CL125-3A-PCJLC/124,,5,CL125-3A-PCJLC/124,02,e4*92/61*0019*03,01,082,,,137,,248
L1e,2006-05-26,109,01,45,4,20060526,0,,,4,2,92,242,242,1840,660,,01,49,2.4,1,,,CPI,JR-JR45/49,,,,04,e4*92/61*0064*08,01,182,,,421,,249
N1,1999-05-14,,01,,5267094523,19990514,6,5,,1,2,1317,1670,1670,4340,1700,,02,1890,55,4,true,false,Volkswagen,5D GOLF VARIANT 1.9 TD -1H/248,,,GOLF,05,,02,402,,176096,732,,250
M1,1999-08-04,,01,AT220(WS),AT220L-AWMNKW(3C),19990804,Y,,AC,,5,1315,1730,1730,4570,1710,1500,01,1580,81,4,,,Toyota,5D AVENSIS STW 1.6-AT220L-AWMNKW/263,,,AVENSIS,05,e11*96/79*0077*01,01,320,192,234143,981,SB172ABN00,251
O1,2005-09-26,1,01,,,20050926,,,,,,220,750,750,4540,1800,,,,,,,,Muuli,1400 SLM/287,,,1400 SLM/287,,,,090,,,797,,252
MUU,,509,01,,,19640000,,,,,1,1780,,,,,,02,2700,,,,,Valmet,361 D/1900-64,,,,,,02,790,,,382,,253
L3,2000-03-27,109,01,,,20000327,,,,,1,210,397,,,740,,01,598,45,,,,Yamaha,XJ600S-RJ01/598,,,,02,,01,598,,,686,,254
M1,2000-06-12,,01,,52492025AD,20000612,Y,,AC,,5,1229,1740,1740,4290,1710,1510,01,1590,74,4,,,Opel,5D ASTRA CARAVAN 1.6-TGF35/261,,,ASTRA-G-CARAVAN,05,,01,288,185,109387,685,W0L0TGF35Y,255
M1,2004-08-06,,01,CH6FZ*,CH6FZB,20040806,9,,AF,,5,1320,1795,1795,4280,1750,1640,01,1740,85,4,,,Citroen,4D XSARA PICASSO MPV 1.8I-CH6FZB/276,,,XSARA PICASSO,05,e2*98/14*0153*07,01,049,184,220998,026,VF7CH6FZB3,256
O1,2004-07-07,13,01,,,20040707,,,,,,130,750,750,5550,1740,,,,,,,,Omavalmiste,KPV-750,,,,,,,167,,,801,,257
O2,2004-08-17,13,01,,,20040817,,,,,,470,2000,2000,6750,2440,,,,,,,,Juhta,2000 JRT,,,,08,,,167,,,822,,258
M1,2004-09-20,,01,AXH1B,21,20040920,8,,AB,,5,1165,1600,1600,4180,1780,1480,01,1360,70,4,,,Fiat,2D STILO HATCHBACK 1.4-192AXH1B21/260,,,STILO,05,e3*98/14*0089*05,01,604,153,74827,339,ZFA1920000,259
O1,2005-10-25,13,01,,,20051025,,,,,,138,750,750,5160,1860,1020,,,,,,,Aku,700K/430,,,700K,,,,445,,,217,,260
M1,1998-01-15,,01,FB11,2A08DCLDB5,19980115,2,,AC,,5,1342,1865,1865,4490,1710,1490,01,1590,74,4,,,Opel,5D VECTRA CARAVAN 1.6-JBF35/264,,,VECTRA-B CARAVAN,05,e1*95/54*0044*03,01,925,,330598,741,W0L0JBF35W,261
M1,1998-01-19,,01,,,19980119,6,,,1,5,1350,1830,1830,4490,1720,,01,1790,90,4,,,Mercedes-Benz,4D SEDAN C 180-202018/269,,,C 180,05,,01,420,,288802,714,WDB2020181,262
MUU,1979-10-19,509,01,,,19790000,,,,,1,2780,7711,,,,,02,3860,,4,,,Massey Ferguson,265/2220,,,,01,,02,791,,,926,,263
MUU,1989-10-19,108,01,,,19891019,,,,,1,130,,,,830,,01,124,,,,,Yamaha,DT125R-3MB/124,,,,02,,01,791,,,927,,264
MUU,2006-03-08,509,01,,,20060308,,,,,1,5950,12500,12500,5150,,,02,6600,117,,true,,Valtra,T150-4X4/275,,,,02,,02,430,,,322,,265
O1,2000-12-29,1,01,,,20001229,,,,,,220,,750,4360,1980,,,,,,,,Omavalmiste,150X300,,,,,,,140,,,745,,266
M1,2006-11-06,,01,SEAVFX01,AGFA51V022NP0GE,20030506,,,,1,5,1620,2090,2090,4680,1750,,02,1890,96,,true,,Volkswagen,5D PASSAT VARIANT 1.9TDI AUTOMATIC-3BG/269,,,PASSAT,05,e1*98/14*0157*09,02,854,194,324323,957,WVWZZZ3BZ3,267
M1,2004-09-30,,01,3CRFN*,3CRFNC/IF,20040930,4,,AB,,5,1294,1719,1719,4200,1750,1460,01,1990,100,4,,,Peugeot,4D 307 HATCHBACK 2.0I-3CRFNC/261,,,307,05,e2*98/14*0244*07,01,186,188,171138,044,VF33CRFNC8,268
O1,2006-08-01,1,01,,,20060801,,,,,,170,750,750,4000,1780,,,,,,,,Muuli,1400 L/260,,,,,,,430,,,323,,269
MUU,1982-03-25,510,01,,,19820000,,,,4,1,6930,,,,2290,,02,4970,,,,,Clark-Michigan,35B-4X4/2350,,,,05,,02,420,,,791,,270
O1,1991-03-06,1,01,,,19910306,,,,,,120,710,710,3150,1650,,,,,,,,Muuli,590S/2130,,,,,,,077,,,415,,271
M1,2003-03-21,,01,,,20030321,6,,,1,8,2330,3000,3000,5160,1800,,02,2490,75,,true,,Toyota,5D HILE8 2.5TD-KLH28L-SBMRHW-4X4/343,,,,05,,02,851,,472924,954,JT121JK280,272
O1,2003-03-17,1,01,,,20030317,8,,,,,160,750,750,3930,1640,,,,,,,,Nova Star,(270)LJO/254,,,,,,,729,,,434,,273
O1,1985-07-25,1,,,,19850000,,,,,,140,550,550,3600,1640,,,,,,,,Manu,55 PZ/2460,,,,,,,049,,,026,,274
O2,1984-04-02,13,01,,,19840000,,,,,,780,1000,910,6470,2090,,,,,,,,Solifer,ARTIC 500/3770,,,,08,,,408,,,622,,275
MUU,1977-10-21,13,01,,,19770000,,,,,,710,,840,,2030,,,,,,,,Sprite,MUSKETEER CD,,,,08,,,753,,,041,,276
M1,2006-06-02,,01,A,A01,20060602,6,,,,5,1515,2000,2000,4460,1770,1680,01,1990,103,4,,,Nissan,5D X-TRAIL STW 2.0 TANT30-4X4/263,,,X-TRAIL,05,e1*98/14*0166*09,01,272,222,178829,676,JN1TANT30U,277
M1,2000-04-13,,01,F,F12,20000413,2,,AA,,5,1180,1595,1595,4340,1690,1400,01,1390,64,4,,,Nissan,4D ALMERA 1.4-BAAN15/254,,,ALMERA,05,e1*93/81*0025*03,01,851,,203484,954,JN1BAAN15U,278
M1,2002-03-22,,01,RS65,RS65P900,20020322,1,,AA,,5,1571,2000,2000,4580,1800,1430,01,2430,103,5,,,Volvo,4D S60 SEDAN 2.4 AUTOMATIC-RS65P9-00/272,,,S60,05,e9*98/14*0036*03,01,167,228,241864,812,YV1RS65P92,279
M1,2006-06-02,,01,B,B01,20060602,2,,AF,,5,1182,,1560,4080,1690,1550,01,1590,81,4,,,Nissan,5D NOTE MPV 1.6-FCAE11/260,,,NOTE,05,e11*01/116*0268*00,01,536,156,105460,371,SJNFCAE11U,280
L3,2004-08-27,109,01,,,19920805,,,,,1,173,355,,,890,,01,644,32,,,,Honda,NX650 DOMINATOR-RD02,,,,02,,01,301,,,613,,281
O1,1994-06-01,1,01,,,19940601,,,,,,140,,750,2600,1650,,,,,,,,Omavalmiste,KPV-750/235,,,,,,,636,,,219,,282
MA,1998-12-11,107,01,,,19981211,,,,4,1,320,,,2760,1200,1230,01,698,83,3,,,Yamaha,V MAX-VX700XTC-8DH,,,,02,,01,564,,,902,,283
M1,1990-06-21,,01,,,19900621,6,,,1,5,1280,1780,1655,,1720,,01,1980,,4,,,Volvo,4D SEDAN 240 GL-244271/2640,,,240,05,,01,442,,188876,291,YV1244271L,284
M1,2003-04-30,,01,ZZE120(H),ZZE120L-DHMDKW(1C),20030430,8,,AB,,5,1210,1655,1655,4180,1710,1480,01,1390,71,4,,,Toyota,4D COROLLA HATCHBACK 1.4-ZZE120L-DHMDKW/260,,,COROLLA,05,e11*98/14*0179*02,01,758,159,159102,995,SB1KM28E60,285
N1,1999-06-30,,01,,,19990630,6,,,,2,1599,2060,2060,4670,1740,,02,1890,81,,true,,Volkswagen,5D PASSAT VARIANT SYNCRO 1.9TDI-3B-4X4/270,,,,05,,02,595,,540904,717,,286
O1,1999-07-27,13,01,,,19990727,,,,,,160,750,750,5800,1970,,,,,,,,Heppu,750 VTL/474,,,,,,,700,,,563,,287
M1,2004-10-27,,01,BA11,1A01A2BAEG5,20041027,3,,AB,,5,1230,1725,1725,4250,1750,1460,01,1360,66,4,,,Opel,4D ASTRA HATCHBACK 1.4-AHL48/261,,,ASTRA,05,e1*01/116*0261*02,01,905,151,127601,651,W0L0AHL485,288
M1,2005-05-26,,01,192CXB1A,12E,20050526,9,,AC,,5,1370,1805,1805,4520,1760,1570,01,1590,76,4,,,Fiat,5D STILO MULTI WAGON 1.6-192CXB1A12E/260,,,STILO,05,e3*98/14*0089*02,01,853,181,153311,203,ZFA1920000,289
MUU,,21,01,,,19520000,,,,,1,150,,,,760,,01,348,,,,,Panther,75CCM,,,,01,,01,297,,,708,,290
M1,2004-07-01,,01,SW65,SW65S200,20040701,0,,AC,,5,1637,2100,2100,4710,1800,1460,01,2430,103,5,,,Volvo,5D V70 STW 2.4-SW65S2-00/276,,,V70,05,e4*01/116*0040*10,01,086,217,349999,123,YV1SW65S24,291
N1,2004-10-29,,01,,,20041029,0,4,,,2,1811,2800,2800,4890,1900,1950,02,1890,77,4,true,false,Volkswagen,TRANSPORTER 1.9TDI-7HK-KASTEN-LN/300,,,TRANSPORTER,05,,02,167,,161659,801,,292
M1,2007-03-26,,01,1,2,20070326,1,,AF,,5,1604,2080,2080,4520,1820,1680,01,1990,110,4,,,Honda,5D CR-V 2.0I MPV AUTOMATIC-RE58-4X4/263,,,CR-V,05,e11*01/116*0301*00,01,564,195,110000,902,SHSRE58507,293
L1e,2004-10-12,109,01,D,00,20041012,,,,4,2,104,284,284,2050,820,,01,50,1.8,1,,,Aprilia,MX50-STD00/50,,6,MX50-STD00/50,02,e11*2000/7*00044*04,01,543,,,018,,294
M1,2005-10-14,,01,YN47,03,20011221,0,,,1,7,2075,2605,2605,5090,2000,,02,2490,105,,true,,Chrysler,5D GRAND VOYAGER MPV 2.5CRD-7-YN47/303,,,Grand Voyager,05,e11*98/14*0139*01,02,740,210,391075,572,1C8GYN4742,295
M1,1985-01-24,,05,,,19850000,6,,,1,5,1090,1560,1465,,1690,,01,1990,,4,,,Toyota,4D CAMRY GLI-SV11L-UEMEEW/2600,,,CAMRY,05,,01,164,,,616,JT1E0SV110,296
M1,1989-09-25,,01,,,19890925,6,,,1,5,1360,1920,1910,,1750,,01,1980,,,,,Volvo,5D STW 740 GL-745273/2770,,,,05,,01,049,,300833,026,YV1745273L,297
M1,2005-01-04,,01,,5313222501,20050104,8,,AC,,5,1241,1694,1694,4370,1700,1420,01,1580,80,4,,,Citroen,5D XSARA BREAK 1.6I-N2NFUB/254,,,XSARA,05,,01,105,160,108843,894,VF7N2NFUB7,298
M1,2002-03-11,,01,,5313241308,20020311,8,,AB,,5,1365,1810,1810,4620,1770,1480,01,1740,85,4,,,Citroen,4D C5 HATCHBACK 1.8I-DC6FZB/275,,,C5,05,,01,078,182,152490,109,VF7DC6FZB7,299
M1,2002-05-15,,01,,52492023EA,20020515,9,,AB,,5,1205,1670,1670,4110,1710,1430,01,1590,74,4,,,Opel,4D ASTRA HATCHBACK 1.6-16V-TGF48/261,,,ASTRA-G-CC,05,,01,529,171,149213,211,W0L0TGF482,300
M1,2005-01-20,,01,NW2,321,20050120,5,,AC,,5,1355,1795,1795,4580,1730,1460,01,1790,90,4,,,GM Daewoo,5D NUBIRA STW 1.8-NF353/260,,,NUBIRA,05,e4*01/116*0069*04,01,564,183,113359,905,KLANF35315,301
O1,2005-04-14,1,01,,,20050414,,,,,,170,750,750,4000,1780,,,,,,,,Muuli,1400 L/260,,,,,,,434,,,077,,302
M1,2003-08-07,,01,,5135571584,20030807,5,5,AC,1,5,1180,1635,1635,4450,1700,1460,01,1590,74,4,false,false,Ford,5D FOCUS STW 1.6-DNW/262,,,FOCUS,05,,01,536,165,185066,371,WF0NXXGCDN,303
M1,2005-01-10,,01,NW1,314,20050110,Y,,AC,,5,1325,1765,1765,4580,1730,1460,01,1590,80,4,,,GM Daewoo,5D NUBIRA STW 1.6-NF356/260,,,NUBIRA,05,e4*01/116*0069*04,01,286,181,188579,469,KLANF35615,304
M1G,2007-01-11,,01,F5P14,A41AZ1,20070111,0,,AF,,5,1855,2325,2325,4650,1890,1730,01,2650,139,6,,,Hyundai,5D SANTA FE MPV 2.7 AUTOMATIC-S-81DP-4X4/270,,,SANTA FE,05,e11*01/116*0270*01,01,562,252,176814,353,KMHSH81DP7,305
M1,2005-05-03,,01,,5902271313,20050503,8,,AB,,5,1310,1745,1745,4490,1760,1470,01,1990,110,4,,,Mazda,4D MAZDA3 HATCHBACK 2.0-BK14F2/264,,,3,05,,01,505,196,39483,046,JMZBK14F25,306
M1,2005-05-11,,01,J270E0,SJBBA51,19991103,Y,,,1,5,1770,2330,2330,4820,1800,,01,4260,205,,,,Mercedes-Benz,5D E 430 KOMBI AUTOMATIC-5-210270/283,,,E 430,05,e1*93/81*0033*16,01,505,272,389793,045,WDB2102701,307
MUU,1977-05-19,13,01,,,19770000,,,,,,180,,570,,1480,,,,,,,,OMATEKOINEN,HA-PV,,,,,,,232,,,618,,308
MUU,1991-07-18,29,01,,,19910718,,,,,6,1850,2460,2320,,1850,,02,1580,51,,,,Volkswagen,TRANSPORTER D-255-CARAVELLE-PE,,,,05,,02,980,,380129,341,WV2ZZZ25ZL,309
O1,1993-04-08,13,01,,,19930408,,,,,,170,,750,,2080,,,,,,,,Markset,1AKS.750,,,,08,,,710,,,103,,310
M1,1999-09-17,,01,,5267114326,19990917,5,,AB,,5,1056,1435,1435,3710,1650,1420,02,1890,47,4,,,Volkswagen,2D POLO 1.9D-6N/240,,,POLO,05,,02,297,,350490,707,WVWZZZ6NZX,311
T,2001-01-08,75,01,,,20010108,5,,,,1,5200,8500,8500,,,,02,6780,84,6,true,,John Deere,6610-MW1-4X4/265,,,,10,,02,981,,,321,,312
M1,2001-09-21,,01,STAVUX01,FM5FM52K028L,20010921,1,,AB,,5,1280,1790,1790,4510,1730,,01,1590,75,4,,,Skoda,4D OCTAVIA HATCHBACK 1.6-75-X-1U/250,,,OCTAVIA,05,e11*95/54*0066*12,01,444,168,263087,081,TMBCX41U32,313
M1,2005-11-30,,01,3ENFU*,3ENFUC,20051130,6,,AC,,5,1330,1800,1800,4430,1760,1560,01,1580,80,4,,,Peugeot,5D 307 WAGON 1.6I-3ENFUC/271,,,307,05,e2*01/116*0243*10,01,609,178,138762,281,VF33ENFUC8,314
M1,2004-01-16,,01,R246F0,LHAAA50,20040116,8,,AC,,5,1525,2050,2050,4540,1730,1490,01,1790,105,4,true,,Mercedes-Benz,5D C 180 KOMPRESSOR KOMBI-203246/272,,,C 180 KOMPRESSOR,05,e1*98/14*0158*04,01,020,211,203583,379,WDB2032461,315
N1,2008-08-01,,05,,4361083403,20080801,8,,BB,,3,2060,3000,3000,5420,2050,2250,02,2190,74,4,true,,Peugeot,BOXER FOURGON 2.2HDI-YAAMFB-AX/345,,,BOXER,05,,02,398,214,181783,151,,316
MUU,1989-04-06,509,01,,,19890000,,,,,1,3640,7000,,,,,02,3910,,4,,,Fiat,80-90DT-4X4/2310,,,,02,,02,260,,,825,,317
N3,2002-06-03,25,02,,,20020603,,,,,2,11550,24000,18000,7250,2500,,02,10640,250,,true,,Scania,P114GB4X2NA340/370,,,,07,,02,091,,153000,004,,318
L1e,2006-07-12,109,01,1,3C0,20060712,3,,,4,2,97,250,250,1980,800,,01,49,1.3,1,,,Rieju,MRX-MRX13C/49,,6,MRX,02,e9*92/61*0074*11,01,599,,,688,,319
MUU,,509,01,,,19610000,,,,,1,2300,,,,,,02,3400,,,,,Nuffield,DM 4/1980-61,,,,,,02,541,,,759,,320
O1,1989-11-20,1,01,,,19891120,,,,,,180,750,750,4000,1930,,,,,,,,Pe-Tra,AM 750/2240+650,,,,,,,564,,,909,,321
N2,2003-07-17,,01,,,20001005,,,,,5,2250,3550,3550,5640,1930,,02,2140,95,,true,,Mercedes-Benz,313 CDI-9036-3.55T-KASTEN/355,,,,05,,02,746,,360038,853,,322
M1,2002-04-30,,01,ZZE120(H),ZZE120L-DHMDKW(1A),20020430,8,,AB,,5,1210,1655,1655,4180,1710,1480,01,1390,71,4,,,Toyota,4D COROLLA HATCHBACK 1.4-ZZE120L-DHMDKW/260,,,COROLLA,05,e11*98/14*0179*00,01,491,159,183588,524,SB1KM28E80,323
M1,2003-02-12,,01,,52670953CN,20030212,8,,AB,,5,1236,1710,1710,4150,1740,1420,01,1390,55,4,,,Volkswagen,4D GOLF HATCHBACK 1.4-1J/250,,,GOLF,05,,01,564,161,234679,906,WVWZZZ1JZ3,324
M1,1997-07-25,,01,,5900241107,19970725,2,,AA,,5,1155,1595,1595,4320,1690,1400,01,1590,73,4,,,Nissan,4D ALMERA 1.6-BCAN15/254,,,ALMERA,05,,01,236,,214981,696,JN1BCAN15U,325
M1,1986-01-02,,01,,,19860000,6,,,1,5,850,1355,1225,,1660,,01,1190,,4,,,Opel,4D KADETT 1.2S-LS-E-CC-34/2520,,,KADETT-E,05,,01,226,,,435,W0L000034G,326
O2,1987-04-15,13,01,,,19870000,,,,,,1090,1350,1240,7000,2190,,,,,,,,Solifer,FINLANDIA 2002/3680+650,,,,08,,,079,,,292,,327
N1,1991-10-03,,01,,,19911003,9,,,,3,1610,2800,2800,4570,1690,,02,2440,57,4,,,Toyota,HIACE LH102L-RBMRSW-VAN/2330,,,HIACE,05,,02,145,,,613,,328
M1,2003-01-08,,01,ZZT220(E),ZZT220L-AEMNKW(2K),20030108,4,,AA,,5,1275,1730,1730,4520,1710,1430,01,1590,81,4,,,Toyota,4D AVENSIS SEDAN 1.6-ZZT220L-AEMNKW/263,,,AVENSIS,05,e11*96/79*0077*08,01,854,170,128064,956,SB153ZBN00,329
M1,2003-04-09,,01,,5267095570,20030409,2,,AC,,5,1378,1840,1840,4400,1740,1490,01,1590,77,4,,,Volkswagen,5D GOLF VARIANT 1.6-1J/250,,,GOLF,05,,01,140,168,246776,741,WVWZZZ1JZ3,330
MUU,1977-10-21,509,01,,,19770000,,,,,1,2490,3740,,,,,02,3290,,3,,,Ford,4600-DA114C/2140,,,,01,,02,153,,,551,,331
MUU,1990-04-20,509,01,,,19900420,,,,,1,4510,6000,,,,,02,6570,,6,,,Ford,7810-FR41-4X4/2550,,,,01,,02,747,,,298,,332
L1,2003-03-17,109,01,,,20030317,,,,,1,88,270,,1740,700,,01,49,3,1,,,Peugeot,VIVACITY 50-S1C0KA-NL/49,,,VIVACITY 50-S1C0KA-NL/49,04,,01,734,,,242,,333
M1,2007-08-09,,01,F5P11,M51AZ1,20070809,0,,AF,,5,1323,1800,1800,4050,1740,1640,01,1590,76,4,,,Hyundai,5D MATRIX MPV 1.6-P-81CP/260,,,MATRIX,05,e4*01/116*0126*00,01,049,174,111888,023,NLHPM81CP8,334
N1,2003-11-21,,01,,,20031121,9,,,,2,1610,2260,2260,4530,1800,1980,02,1750,55,4,true,,Ford,TRANSIT CONNECT VAN T220-1.8TDDI-PU2/291,,,TRANSIT CONNECT,05,,02,837,,239345,332,,335
MUU,1986-08-15,13,01,,,19860000,,,,,,160,,610,,1680,,,,,,,,Omavalmiste,,,,,,,,049,,,026,,336
O1,1983-05-27,1,01,,,19830000,,,,,,150,750,750,3200,1580,,,,,,,,Muuli,600/2070,,,,,,,075,,,494,,337
MUU,,509,01,,,19620000,,,,,1,1480,,,,,,02,2500,,,,,Massey Ferguson,FE-35/1830-62,,,,,,02,398,,,155,,338
M1,2008-09-12,,01,ZRE151(H),ZRE151L-DHMNKW(1A),20080912,Y,,AB,,5,1335,1750,1750,4220,1760,1520,01,1590,91,4,,,Toyota,4D AURIS HATCHBACK 1.6-ZRE151L-DHMNKW/260,,,AURIS,05,e11*01/116*0305*00,01,749,166,115103,718,SB1KV56E40,339
O2,1989-03-30,13,01,,,19890000,,,,,,730,1000,840,5300,2100,,,,,,,,Hobby,370 TM DE LUXE-75/3320,,,,08,,,758,,,997,,340
M1,2004-03-25,,01,ABBAGX01,FM6AG005M4,20040325,6,,AB,,5,1295,1810,1810,4200,1750,1460,01,1590,85,4,,,Volkswagen,4D GOLF HATCHBACK 1.6-1K/258,,,GOLF,05,e1*01/116*0242*01,01,710,158,86795,106,WVWZZZ1KZ4,341
O1,2002-09-03,1,01,,,20020903,,,,,,170,750,750,4000,1780,,,,,,,,Muuli,1400 L/260,,,,,,,608,,,296,,342
M1,2005-10-04,,01,AP91,02,20010502,0,,,1,5,1700,2165,2165,4480,1740,,02,2920,135,,true,,BMW,5D 330D TOURING AUTOMATIC-AP91/273,,,330d,05,e1*98/14*0097*08,02,746,216,331331,853,WBAAP910X0,343
O1,1997-01-20,1,01,,,19970120,,,,,,300,750,750,3570,2300,,,,,,,,Eurowagon,3570U,,,,,,,858,,,054,,344
MUU,1988-03-01,509,01,,,19880000,,,,,1,490,,,,,,02,660,,2,,,Mitsubishi,MT372D-4X4/1310,,,,01,,02,245,,,042,,345
O1,1990-06-18,1,01,,,19900618,,,,,,120,710,710,3150,1650,,,,,,,,Muuli,590S/2130,,,,,,,762,,,743,,346
M1,1998-08-07,,01,AT220(ES),AT220L-AEMNKW(30),19980807,Z,,AA,,5,1270,1730,1730,4490,1710,1430,01,1580,81,4,,,Toyota,4D AVENSIS 1.6-AT220L-AEMNKW/263,,,AVENSIS,05,e11*96/79*0077*00,01,297,185,216617,708,SB153ABN00,347
O4,1998-12-22,12,02,,,19981222,,,DB,,,13000,38000,38000,14280,2550,,,,,,,,Briab,,,,,07,,,430,,,324,,348
L3,2007-05-15,109,01,,,19931028,,,,,1,200,,,,750,,01,598,25,,,,Yamaha,XJ600S-4BR/598,,,,02,,01,205,,,872,,349
MUU,,13,01,,,19760000,,,,,,910,,1040,,2080,,,,,,,,Solifer,470,,,,08,,,851,,,954,,350
L3,1991-04-30,108,01,,,19910430,,,,,1,140,,,,830,,01,124,11,,,,Aprilia,RED ROSE 125-FQ/124,,,,04,,01,091,,,001,,351
M1,1992-04-23,,01,,,19920423,6,,,1,5,1260,1640,1635,4260,1710,,01,1780,72,4,,,Volkswagen,4D GOLF COUNTRY-1800-19E-299-C-4X4/248,,,GOLF,05,,01,584,,328616,699,WVWZZZ1GZM,352
T,2007-05-30,81,01,,,20070530,,,,,1,6700,10000,10000,4820,,,02,6788,114,,true,,John Deere,6630-MW1-4X4/265,,,,10,,02,232,,,618,,353
O1,1984-03-26,1,01,,,19840000,,,,,,130,650,650,3600,1640,,,,,,,,Jullikka,65 PZ/2470,,,,,,,297,,,701,,354
MA,2004-11-26,107,01,,,20041126,,,,4,2,328,,,3050,990,1300,01,436,29,2,,,Lynx,FORESTFOX-443/436,,,,01,,01,205,,,879,,355
MUU,1989-11-16,1,01,,,19891116,,,,,,150,500,500,2000,1680,,,,,,,,Omavalmiste,500/2450,,,,,,,301,,,613,,356
T,1998-09-17,75,01,,,19980917,,,,,1,3950,5500,5500,4070,,2770,02,3900,63,4,true,,New Holland,FORD 6635 DT-4X4/231,,,,02,,02,286,,,453,,357
M1,2003-08-15,,01,,,19970309,9,,,1,5,1515,1930,1930,4750,1820,,01,2490,120,,,,Chrysler,4D STRATUS -MB6H/275,,,,05,,01,240,,373521,947,1C3EMB6H0V,358
M1,2006-08-29,,01,3C9HX*,3C9HXC,20060829,2,,AB,,5,1306,1770,1770,4210,1760,1510,02,1560,66,4,true,,Peugeot,4D 307 HATCHBACK 1.6HDI-3C9HXC/261,,,307,05,e2*01/116*0301*01,02,541,129,239024,755,VF33C9HXC8,359
O1,1997-06-24,13,01,,,19970624,,,,,,130,750,750,,1640,,,,,,,,Omavalmiste,TP,,,,,,,678,,,921,,360
M1,1990-01-10,,01,,,19900110,1,,,1,5,1420,1845,1795,4720,1750,,01,1790,85,4,,,BMW,4D SEDAN 518I-HA11/2760,,,518i,05,,01,700,,401867,561,WBAHA11030,361
M1,2006-03-10,,01,,,19980313,5,,,1,5,1415,1890,1890,4670,1740,,02,1890,81,,true,,Volkswagen,5D PASSAT VARIANT 1.9TDI-3B/271,,,,05,e1*95/54*0043*07,02,179,,387311,419,WVWZZZ3BZW,362
MA,1999-01-04,107,01,,,19990104,,,,4,1,314,488,,2740,1180,,01,438,46,2,,,Polaris,XCF SP SX4FS/438,,,,02,,01,698,,,972,,363
M1,2001-06-18,,01,,5249281528,20010618,8,,AC,,7,1475,2020,2020,4320,1740,1680,01,2190,108,4,,,Opel,5D ZAFIRA STW 2.2-TGF75/269,,,ZAFIRA-A,05,,01,272,214,226434,674,W0L0TGF751,364
M1,2004-05-14,,01,FYDB1,5CADKH,20040514,8,,AC,,5,1150,1635,1635,4450,1700,1460,01,1590,74,4,,,Ford,5D FOCUS STW 1.6-DNW/262,,,FOCUS,05,e13*97/27*0040*16,01,205,163,292903,877,WF0NXXGCDN,365
M1,2004-07-07,,01,,,19961108,2,,,1,5,1435,1880,1880,4510,1720,,02,2150,70,,,,Mercedes-Benz,4D SEDAN C 220D-AUTOMATIC-202121/269,,,,05,,02,743,,288833,602,WDB2021211,366
O1,1997-03-27,1,01,,,19970327,,,,,,170,750,750,3940,1640,,,,,,,,Majava,M 2526 LJ/261,,,,,,,205,,,871,,367
O1,2006-03-28,1,01,,,20060328,,,,,,160,750,750,3870,1640,,,,,,,,Muuli,1250 XL/250,,,1250 XL,,,,564,,,906,,368
M1,2002-07-17,,01,ZZE121(W),ZZE121L-FWMDKW(1A),20020717,4,,AC,,5,1270,1695,1695,4240,1710,1610,01,1590,81,4,,,Toyota,5D COROLLA VERSO STW 1.6-ZZE121L-FWMDKW/260,,,COROLLA VERSO,05,e11*98/14*0178*00,01,418,174,182418,375,JTDEZ28E60,369
N1,2007-10-31,,01,,,20071031,5,,,,3,2140,3000,3000,5290,1900,,02,2460,96,,true,,Volkswagen,TRANSPORTER 2.5TDI 4MOTION-7HK-KASTEN-N-4X4/340,,,TRANSPORTER,05,,02,205,,116013,876,,370
MUU,1983-07-29,509,01,,,19830000,,,,,1,2780,7711,,,,,02,3860,,4,,,Massey Ferguson,265/2220,,,,01,,02,931,,,446,,371
M1,1992-06-11,,01,,,19920611,8,,,1,5,1050,1520,1425,4240,1670,1410,01,1460,66,4,,,Mitsubishi,4D LANCER 1.5 EXE-12V-HATCHBACK-LNC62A/246,,,LANCER,05,,01,918,,178017,232,JMBLNC62AN,372
