ajoneuvoluokka,ensirekisterointipvm,ajoneuvoryhma,ajoneuvonkaytto,variantti,versio,kayttoonottopvm,vari,ovienLukumaara,korityyppi,ohjaamotyyppi,istumapaikkojenLkm,omamassa,teknSuurSallKokmassa,tieliikSuurSallKokmassa,ajonKokPituus,ajonLeveys,ajonKorkeus,kayttovoima,iskutilavuus,suurinNettoteho,sylintereidenLkm,ahdin,sahkohybridi,merkkiSelvakielinen,mallimerkinta,vaihteisto,vaihteidenLkm,kaupallinenNimi,voimanvalJaTehostamistapa,tyyppihyvaksyntanro,yksittaisKayttovoima,kunta,Co2,matkamittarilukema,alue,valmistenumero2,jarnro
O1,1988-07-19,1,01,,,19880000,,,,,,230,750,750,4000,1830,,,,,,,,Muuli,1000KS/2260+600,,,,,,,734,,,252,,37
M1,1999-03-08,,01,J00BA0,TFAA250,19990308,0,,AA,,5,1570,2040,2040,4800,1800,,02,2150,75,4,true,,Mercedes-Benz,4D SEDAN E 200 CDI-AUTOMATIC-210007/283,,,E 200 CDI,05,e1*93/81*0022*13,02,781,,546400,197,WDB2100071,38
M1,1996-09-25,,01,,,19960925,2,,,1,5,1610,2100,2100,4820,1790,,01,1990,85,,,,Opel,5D OMEGA 2.0-GL-B-CARAVAN-21,,,,05,,01,499,,318908,665,W0L000021V,39
M1,1993-11-16,,01,,,19931116,2,,,1,5,1100,1595,1595,4270,1690,,01,1580,84,4,,,Toyota,4D COROLLA 1.6GLI-AE101L-AEPNKW/247,,,COROLLA,05,,01,505,,130190,046,JT153AEA10,40
O4,1980-05-02,12,01,,,19800502,,,,,,6400,28000,28000,5800,2500,,,,,,,,Jyki,V13-OK,,,,07,,,609,,,286,,41
O2,2003-04-16,13,01,,,20030416,,,,,,320,1350,1350,6700,2090,,,,,,,,JSI-Trailers,VT 1350/527,,,VT 1350/527,08,,,149,,,101,,42
M1,2006-01-31,,01,LCRFJ*,LCRFJC,20060131,2,,AB,,5,1351,1772,1772,4260,1770,1460,01,1997,103,4,,,Citroen,4D C4 HATCHBACK 2.0I 16V-LCRFJC/261,,,C4,05,e2*01/116*0302*02,01,297,182,113800,708,VF7LCRFJC7,43
MUU,1987-06-18,13,01,,,19870000,,,,,,210,,750,,1600,,,,,,,,Omavalmiste,2.50M,,,,,,,286,,,451,,44
O1,1982-05-14,1,01,,,19820000,,,,,,220,,650,4550,1660,,,,,,,,Omavalmiste,650/3450,,,,,,,106,,,058,,45
N1,1999-02-03,,01,,,19990203,8,,,,3,1800,2800,2800,5160,1800,,02,2440,66,,true,,Toyota,HIACE LXH22L-RBMRXW-VAN/343,,,,05,,02,444,,490572,088,,46
M1,1999-09-02,,01,,5267361103,19990902,5,,AA,,5,1237,1720,1720,4370,1740,,01,1590,74,4,,,Volkswagen,4D BORA 1.6-1J/250,,,BORA,05,,01,049,185,221609,023,WVWZZZ1JZX,47
L3,2000-11-13,109,01,,,19940329,,,,,1,270,450,,,690,,01,1052,111,,,,Kawasaki,ZZ-R 1100-ZXT10D/1052,,,,02,,01,092,,,013,,48
MUU,,21,01,,,19690000,9,,,1,5,1060,,1460,4450,1620,,01,1980,,,,,Volvo,2D AMAZON 131341-S/2600,,,,02,,01,165,,177169,142,,49
MUU,,509,01,,,00000000,,,,,1,1452,,,,,,02,2200,,,,,Ferguson,35 DELUXE,,,,,,02,529,,,211,,50
MUU,1985-10-31,509,01,,,19850000,,,,,1,3720,7260,,,,,02,4380,,4,,,Ford,6610-EA31-4X4/2250,,,,01,,02,403,,,626,,51
M1,2006-01-10,,01,ZNR20(W),ZNR11L-GWMEKW(1D),20060110,Y,,AC,,5,1430,2035,2035,4360,1770,1620,01,1790,95,4,,,Toyota,5D COROLLA VERSO STW 1.8-5-ZNR11L-GWMEKW/275,,,COROLLA VERSO,05,e11*01/116*0222*03,01,992,184,168269,441,NMTER16R40,52
M1,2008-01-22,,01,ZRE151(E),ZRE151L-AEMNKW(1B),20080122,Y,,AA,,5,1330,1760,1760,4540,1760,1470,01,1590,91,4,,,Toyota,4D COROLLA SEDAN 1.6-ZRE151L-AEMNKW/260,,,COROLLA,05,e11*01/116*0304*01,01,202,162,155333,215,JTNBV56E20,53
O1,1992-06-01,1,01,,,19920601,,,,,,180,750,750,3700,1660,,,,,,,,Kärppä,K750/2370,,,,,,,077,,,415,,54
M1,2005-02-23,,01,AABKCX01,FM5FM5A4009N,20050223,8,,AA,,5,1385,1970,1970,4570,1770,1450,02,1890,77,4,true,,Skoda,4D OCTAVIA SEDAN 1.9TDI-77-S-1Z/258,,,OCTAVIA,05,e11*01/116*0230*07,02,092,138,345608,017,TMBBS61Z15,55
L3,1999-07-20,109,01,,,19990720,,,,,1,255,438,,2160,720,,01,1137,112,4,,,Honda,CBR1100XX-SC35/1137,,6,,02,,01,535,,,855,,56
M1,2002-01-07,,01,J00DF0,TGBBA50,20020107,8,,AA,,5,1615,2090,2090,4830,1800,1450,02,2140,85,4,true,,Mercedes-Benz,4D E 200 CDI SEDAN AUTOMATIC-210007/283,,,E 200 CDI,05,e1*93/81*0022*22,02,734,177,298818,255,WDB2100071,57
O1,1995-06-30,1,01,,,19950630,,,,,,180,750,750,,1750,,,,,,,,Juhta,750JL/2460-3410,,,,,,,275,,,443,,58
T,1998-08-18,75,01,,,19980818,,,,,1,4660,7500,7500,4130,,2900,02,4980,64,4,,,New Holland,TS 90-618-15-4X4/236,,,,02,,02,686,,,777,,59
M1,2002-06-19,,01,A,A20,20020619,5,,AA,,5,1240,1690,1690,4430,1710,1450,01,1490,66,4,,,Nissan,4D ALMERA SEDAN 1.5-BAAN16/254,,,ALMERA,05,e11*98/14*0129*03,01,208,160,77575,851,SJNBAAN16U,60
O1,2002-06-12,1,01,,,20020612,,,,,,170,750,750,4000,1780,,,,,,,,Muuli,1400 L/260,,,,,,,848,,,826,,61
M1,2003-11-20,,01,C,B,20031120,6,,AB,,5,1268,1693,1693,4200,1750,1460,01,1580,80,4,,,Peugeot,4D 307 HATCHBACK 1.6I-3CNFUB/261,,,307,05,e2*98/14*0243*01,01,186,169,118053,044,VF33CNFUB8,62
M1G,2003-11-17,26,01,,,19910108,6,,,1,5,1920,2430,2430,4470,1690,,01,2950,105,,,,Toyota,5D 4RUNNER-VZN130L-GKMSEW-4X4/263,,,,05,,01,581,,276855,397,JT111VND00,63
MUU,1980-01-04,509,01,,,19800000,,,,,1,2780,7711,,,,,02,3860,,4,,,Massey Ferguson,265/2220,,,,01,,02,069,,,858,,64
M1,1990-10-12,,01,,,19901012,2,,,1,5,1410,1845,1785,4720,1750,,01,1790,83,4,,,BMW,4D SEDAN 518I-HA11/2760,,,518i,05,,01,297,,164012,701,WBAHA11020,65
M1,2006-04-28,,01,LB6U,6,20060428,Y,,AA,,5,1575,1990,1990,4840,1790,1390,01,2730,149,6,,,Chrysler,4D SEBRING SEDAN 2.7 AUTOMATIC-LB6U/274,,,SEBRING,05,e11*98/14*0138*09,01,092,248,128045,012,1C3ALB6R36,66
O1,2006-12-15,1,01,,,20061215,,,,,,170,750,750,4000,1780,,,,,,,,Muuli,1400 L/260,,,,,,,050,,,274,,67
O1,1986-11-17,1,,,,19860000,,,,,,150,750,750,3200,1580,,,,,,,,Muuli,600/2070,,,,,,,010,,,634,,68
M1,1985-09-03,,01,,,19850903,9,,,1,5,1000,1440,1375,,1640,,01,1580,,4,,,Peugeot,4D SEDAN 305SR-581M56/2620,,,305,05,,01,260,,,825,VF3581M56F,69
MUU,,509,01,,,19750000,,,,,1,2590,,,,,,02,2690,,,,,Valmet,502-E/2110,,,,01,,02,593,,,771,,70
M1,2005-02-11,,01,3ENFU*,3ENFUB,20050211,6,,AC,,5,1344,1850,1850,4420,1760,1530,01,1580,80,4,,,Peugeot,5D 307 WAGON 1.6I-3ENFUB/271,,,307,05,e2*98/14*0243*08,01,399,178,188570,664,VF33ENFUB8,71
M1,2008-03-13,,01,19F,6,20080313,8,,AC,,5,1445,1940,1940,4690,1780,1480,01,1990,108,4,,,Mazda,5D MAZDA6 STW 2.0-GY19F6/268,,,6,05,e11*01/116*0203*04,01,927,191,145097,032,JMZGY19F67,72
O1,2006-11-02,1,01,,,20061102,,,,,,170,750,750,3940,1640,,,,,,,,Majava,M 2526 LJ/261,,,,,,,895,,,235,,73
M1,1998-01-02,,01,,5243371101,19980102,6,,AA,,5,1460,1960,1960,4800,1800,,02,2150,70,4,,,Mercedes-Benz,4D SEDAN E 220 DIESEL-210004/283,,,E 220D,05,,02,286,,295568,451,WDB2100041,74
L1,,109,01,,,19940909,,,,,1,85,,,,770,,01,49,,,,,Peugeot,X056,,,,04,,01,106,,,058,,75
MUU,,509,01,,,19640000,,,,,1,2270,,,,,,02,3610,,,,,Fordson,SUPER MAJOR/2020,,,,,,02,636,,,218,,76
O2,1990-01-05,13,01,,,19900105,,,,,,1090,1400,1260,7550,2300,,,,,,,,Kafi,FUTURE 642/4010+650,,,,08,,,174,,,735,,77
M1,1990-06-04,,01,,,19900604,9,,,1,9,2240,2960,2960,4780,1830,,02,4160,123,6,true,,Toyota,5D LAND CRUISER GX-HDJ80L-GNMNXW-4X4/285,,,LAND CRUISER,05,,02,086,,667835,122,JT111TJ800,78
M1,2005-02-18,,01,LBLBF1,FM6XG0R4F600GGP,20050218,8,,AA,,5,1615,2120,2120,4920,1860,1450,02,1960,103,4,true,,Audi,4D A6 SEDAN 2.0TDI-4F/286,,,A6,05,e1*01/116*0254*05,02,405,164,288299,538,WAUZZZ4F45,79
L1e,2007-02-26,109,01,,QM50QT-6A,20070226,,,,4,2,85,250,250,1640,690,,01,50,2.1,1,,,Qingqi,QM50QT-6-AGZ40/50,,,,,e4*2002/24*0368*06,01,297,,,703,,80
